Variable,Assumption,Calibrated Output,Climate Impact Parameter,Explanatory Variable,External Parameter,Internal Calibration Parameter,No Sensi,Policy,Unit,Value,Min,Max
"Demographics.60 to 65 mortality gamma",0,0,0,0,0,1,0,0,0,-1.02434772617879,-3,0
"Demographics.65 to 75 mortality alpha",0,0,0,0,0,1,0,0,0,1.0766817334859,0,3
"Demographics.65 to 75 mortality gamma",0,0,0,0,0,1,0,0,0,-0.841638056289411,-3,0
"Demographics.averaging time",0,0,0,0,0,1,0,0,0,7,7,20
"Demographics.Cold mortality sensitivity to T",0,0,1,0,1,0,0,0,0,-0.0189917894,-0.01974,-0.01825
"Demographics.Cold mortality sensitivity to T2",0,0,1,0,1,0,0,0,0,0.0019403962,0.00183,0.00206
"Demographics.effect of GDP on female population literacy percentage constant",0,0,0,0,0,1,0,0,0,0.771842225255908,0,5
"Demographics.effect of GDP on female population literacy percentage scale factor",0,0,0,0,0,1,0,0,0,2.75952336510515,0,5
"Demographics.Hot mortality sensitivity to T",0,0,1,0,1,0,0,0,0,0.0319957449,0.02646,0.03702
"Demographics.Hot mortality sensitivity to T2",0,0,1,0,1,0,0,0,0,-0.0006130132,-0.00183,0.000693
"Demographics.infant mortality alpha",0,0,0,0,0,1,0,0,0,0.671808041620949,0,2
"Demographics.infant mortality gamma",0,0,0,0,0,1,0,0,0,-1.60887476967732,-3,0
"Demographics.initial fertility",0,0,0,0,0,1,0,0,0,3.86744717386613,0,10
"Demographics.Over 75 mortality alpha",0,0,0,0,0,1,0,0,0,0.507668340979306,0,3
"Demographics.Over 75 mortality gamma",0,0,0,0,0,1,0,0,0,-0.387630660009161,-3,0
"Demographics.sensitivity of fertility to inverse GDP per person",0,0,0,0,0,1,0,0,0,-0.431828214875588,-2,0
"Demographics.sensitivity of fertility to literacy",0,0,0,0,0,1,0,0,0,-0.0188452053694482,-0.05,0
"Demographics.time to change fertility",0,0,0,0,0,1,0,0,0,23.9945440463099,15,25
"Circular Flow.consumption habits adjustment time",1,0,0,0,0,1,0,0,0,1.46411131412802,0.5,2.5
"Circular Flow.desired savings as multiple of profits",0,0,0,0,0,1,0,0,0,10.4006699587885,2,20
"Circular Flow.desired savings as multiple of wages",0,0,0,0,0,1,0,0,0,2.37276044476926,1,5
"Circular Flow.fraction of income to consumption",1,0,0,0,0,1,0,0,0,0.75,0.65,0.85
"Circular Flow.fraction of owner income to consumption",1,0,0,0,0,1,0,0,0,0.75,0.65,0.85
"Circular Flow.initial firms checking accounts",0,0,0,0,0,1,0,0,0,5250.07188747317,4000,6000
"Circular Flow.initial owner savings",0,0,0,0,0,1,0,0,0,49956.2592480143,30000,60000
"Circular Flow.initial worker savings",0,0,0,0,0,1,0,0,0,23714.3444009328,20000,30000
"Circular Flow.minimum fraction of income to consumption",1,0,0,0,0,1,0,0,0,0.35,0.25,0.45
"Circular Flow.profit tax rate",0,0,0,0,0,1,0,0,0,0.331874184033976,0,0.4
"Circular Flow.time to consider desired savings",0,0,0,0,0,1,0,0,0,1.12342129181053,1,10
"Circular Flow.time to pay out profits",0,0,0,0,0,1,0,0,0,2.87401827216072,1,5
"Circular Flow.time to reach savings goal",0,0,0,0,0,1,0,0,0,4.93412698683933,1,5
"Circular Flow.wage tax rate",0,0,0,0,0,1,0,0,0,0.180383702505909,0.1,0.3
"Employment.average development completion time",1,0,0,0,0,1,0,0,0,5,4,6
"Employment.fraction of productivity gains translating to firing",1,0,0,0,0,1,0,0,0,0.5,0.25,0.75
"Employment.hiring to investment ratio",0,0,0,0,0,1,0,0,0,0.188766099640879,0.1,0.75
"Employment.initial unemployment rate",0,0,0,0,0,1,0,0,0,0.0707707941548209,0.03,0.1
"Employment.Initial Wage Rate",0,0,0,0,0,1,0,0,0,6978.45761510245,2000,10000
"Employment.labour force participation fixed",0,0,0,0,0,1,0,0,0,63.9986638721396,61.8,66
"Employment.max change in fractional wage growth",0,0,0,0,0,1,0,0,0,0.13129852225776,0,0.9
"Employment.max firing percentage",0,0,0,0,0,1,0,0,0,0.0443150263767423,0.03,0.1
"Employment.negotiation effectiveness",1,0,0,0,0,1,0,0,0,1,0.5,1.5
"Employment.productivity yield of exploratory investment",1,0,0,0,0,1,0,0,0,1.9473283132336,0.9473283132336,2.9473283132336
"Employment.productivity yield of non bank innovation",1,0,0,0,0,1,0,0,0,0.13266869511252,0.05,0.25
"Employment.rent to investment ratio",1,0,0,0,0,1,0,0,0,0.25,0.15,0.35
"Employment.sensitivity of firing to profit discrepancy",1,0,0,0,0,1,0,0,0,0.5,0.25,1
"Employment.sensitivity of hiring to unemployment rate",0,0,0,0,0,1,0,0,0,1.46429540944776,0.1,2
"Employment.share of employment in agriculture intercept",0,0,0,0,0,1,0,0,0,66.850525614721,-100,100
"Employment.share of employment in agriculture slope",0,0,0,0,0,1,0,0,0,-15.8153975163181,-50,1
"Employment.share of employment in industry intercept",0,0,0,0,0,1,0,0,0,0.24841473283493,-100,100
"Employment.share of employment in industry slope",0,0,0,0,0,1,0,0,0,2.84169994702987,0,10
"Employment.share of employment in services intercept",0,0,0,0,0,1,0,0,0,-25.3265314921532,-100,100
"Employment.share of employment in services slope",0,0,0,0,0,1,0,0,0,7.29955124748939,0,10
"Employment.Temperature effect on high exposure productivity",0,0,1,0,1,0,0,0,0,-6.12997762,-25,4
"Employment.Temperature effect on low exposure productivity",0,0,1,0,1,0,0,0,0,-2.08597315,-16,5
"Employment.Temperature squared effect on high exposure productivity",0,0,1,0,1,0,0,0,0,-1.06326622,-1.5,1
"Employment.Temperature squared effect on low exposure productivity",0,0,1,0,1,0,0,0,0,-1.56791946,-2,0.1
"Employment.threshold unemployment rate",0,0,0,0,0,1,0,0,0,0.0904040226572417,0.04,0.15
"Employment.time for defaults to affect firing",1,0,0,0,0,1,0,0,0,1,0.5,1.5
"Employment.time for productivity to affect firing",1,0,0,0,0,1,0,0,0,5,3,7
"Employment.time seeking employees",0,0,0,0,0,1,0,0,0,1.41669641584092,1,3
"Employment.time to fire from missed profits",1,0,0,0,0,1,0,0,0,1,0.5,1.5
"Employment.Urgency with which wage growth is demanded",1,0,0,0,0,1,0,0,0,2,1,3
"Employment.wage adjustment negotiation time",1,0,0,0,0,1,0,0,0,1.99971463266878,1,3
"Finance.average time private refinances debt",1,0,0,0,0,1,0,0,0,3,2,4
"Finance.bank expectation formation time",0,0,0,0,0,1,0,0,0,2.5936119971122,2,20
"Finance.desired asset to liability ratio",1,0,0,0,0,1,0,0,0,1.02,1.01,1.05
"Finance.elasticity of bankruptcy rate on risk premium",0,0,0,0,0,1,0,0,0,3.0021073225205,2.5,5
"Finance.elasticity of desired bank growth rate to changes in lending standards",0,0,0,0,0,1,0,0,0,1.87073309552934,1,10
"Finance.exploratory premium",1,0,0,0,0,1,0,0,0,2,2,4
"Finance.exponential effect of interest on defaults",0,0,0,0,0,1,0,0,0,9.04924518340355,9,10
"Finance.initial bad loans",0,0,0,0,0,1,0,0,0,203.069459184058,180,300
"Finance.initial bank investment",0,0,0,0,0,1,0,0,0,3858.59342433962,3000,5000
"Finance.initial bank investment growth rate",0,0,0,0,0,1,0,0,0,0.0670672298125876,0,0.1
"Finance.initial good loans",0,0,0,0,0,1,0,0,0,8061.31658291787,7500,8500
"Finance.initial risk premium",0,0,0,0,0,1,0,0,0,0.0212644453216266,0.01,0.05
"Finance.Initial safe assets",0,0,0,0,0,1,0,0,0,72479.764986349,60000,100000
"Finance.loan maturation time",0,0,0,0,0,1,0,0,0,20.6642325520063,3,30
"Finance.max change in bank investment as fraction of normal",0,0,0,0,0,1,0,0,0,0.633779113539891,0.1,1
"Finance.max change in failure rate",0,0,0,0,0,1,0,0,0,0.0423112259461265,0.02,0.06
"Finance.max change in lending standards",0,0,0,0,0,1,0,0,0,0.139977445515381,0,1
"Finance.max risk premium increase rate",0,0,0,0,1,0,0,0,0,0.035,0.01,0.15
"Finance.normal failure rate",0,0,0,0,0,1,0,0,0,0.034599523818908,0.01,0.05
"Finance.reference formation time",1,0,0,0,0,1,0,0,0,80,60,100
"Finance.renegotiation time",1,0,0,0,0,1,0,0,0,1,1,1.5
"Finance.reporting delay",0,0,0,0,0,1,0,0,0,0.961854331465005,0.125,1
"Finance.scale of exploratory loan failure",1,0,0,0,0,1,0,0,0,7.50457450073726,6,9
"Finance.sensitivity of bank exploration to profit decline",1,0,0,0,0,1,0,0,0,0.501962557390594,0.2,0.8
"Finance.sensitivity of bank profit payment to net asset growth",1,0,0,0,0,1,0,0,0,1.1,0.5,1.5
"Finance.sensitivity of defaults to changes in risky interest",0,0,0,0,0,1,0,0,0,11.8992899900341,11,13.3
"Finance.sensitivity of effect of sta on failure rate[1]",0,0,0,0,0,1,0,0,0,0.579202382378928,0.1,1.1
"Finance.sensitivity of exploratory loan failure to GDP growth",1,0,0,0,0,1,0,0,0,1.05,0.5,1.5
"Finance.sensitivity of failure rate to investment to gdp ratio",0,0,0,0,0,1,0,0,0,0.074417795338962,0.06,0.12
"Finance.sensitivity of investment and GDP difference",1,0,0,0,0,1,0,0,0,2.21707411084322,1,3
"Finance.strength of effect of recent GDP growth on lending standards",0,0,0,0,0,1,0,0,0,-0.11484822159777,-1,-0.11
"Finance.time for safe loans that will fail to actually fail",0,0,0,0,0,1,0,0,0,10.917841161278,3,30
"Finance.time to change lending standards",0,0,0,0,0,1,0,0,0,1.32446095321286,0.5,1.5
"Finance.time to measure changes in risky interest",0,0,0,0,0,0,0,0,1,1,0.8,1.2
"GDP.initial real GDP growth rate",0,0,0,0,0,1,0,0,0,0.036033440243071,0,0.05
"Government.average time government refinances debt",1,0,0,0,0,1,0,0,0,7,5,10
"Government.averaging time to adjust tax based on income",0,0,0,0,0,1,0,0,0,2.56714283794001,1,3
"Government.central bank adjustment time",1,0,0,0,0,1,0,0,0,1.5,0.5,2
"Government.central bank interest rate reactivity",1,0,0,0,0,1,0,0,0,1,0.8,1.2
"Government.curvature effect of debt to GDP ratio on government spending",1,0,0,0,0,1,0,0,0,10,9,11
"Government.effect end effect of debt to GDP ratio on government spending",1,0,0,0,0,1,0,0,0,2,1.6,2.4
"Government.effect start effect of debt to GDP ratio on government spending",1,0,0,0,0,1,0,0,0,1,0.5,1.8
"Government.GDP perception time",0,0,0,0,0,1,0,0,0,2.08053287072274,1,3
"Government.inflation weight",1,0,0,0,0,1,0,0,0,1.33,1.2,1.4
"Government.initial government debt",0,0,0,0,0,1,0,0,0,10000.6804028102,0,25000
"Government.initial safe interest",0,0,0,0,0,1,0,0,0,0.0307541470950899,0,0.2
"Government.maximum effect of debt to GDP ratio on government spending",0,0,0,0,0,1,0,0,0,1.30756745296304,1.2,1.5
"Government.normal investment share of public expenditure",1,0,0,0,0,1,0,0,0,0.0452270234274113,0.03,0.16
"Government.normal public consumption to transfers ratio",0,0,0,0,0,1,0,0,0,0.673075183502727,0.65,1
"Government.sensitivity of banks gov debt risk perception",1,0,0,0,0,1,0,0,0,0.1,0.05,0.15
"Government.sensitivity of STA on public consumption",0,0,0,0,0,1,0,0,0,0.0524958489390172,0,0.2
"Government.solvency support adjustment time",1,0,0,0,0,1,0,0,0,1,0.5,1.5
"Government.time to pay subsidies",0,0,0,0,0,0,0,0,1,1,0,2
"Government.unemployment weight",1,0,0,0,0,1,0,0,0,0.33,0.2,0.4
"Inflation.Agriculture share of GDP intercept",0,0,0,0,0,1,0,0,0,3.28243599500953,0,100
"Inflation.agriculture share of GDP slope",0,0,0,0,0,1,0,0,0,-2.34407498425802,-10,1
"Inflation.agriculture share of GDP starting point determinant",0,0,0,0,0,1,0,0,0,19.9164957522956,0,20
"Inflation.deflation adjustment time",0,0,0,0,0,1,0,0,0,4.28777090981341,2,10
"Inflation.inflation adjustment time",1,0,0,0,0,1,0,0,0,1,0.5,1.5
"Inflation.initial inflation index",0,0,0,0,0,1,0,0,0,0.437344443199253,0.35,0.55
"Inflation.initial inflation rate",0,0,0,0,0,1,0,0,0,0.0300546499505354,0,0.1
"Inflation.weight of cropland inflation contribution",0,0,0,0,0,1,0,0,0,0.102822576655457,0.001,2
"Inflation.weight of fertilizer used per unit of crop production",0,0,0,0,0,1,0,0,0,0.00599453744915399,0.001,2
"Inflation.weight of grazing land inflation contribution",0,0,0,0,0,1,0,0,0,0.0562349691952981,0.001,2
"Inflation.weight of irrigation water used per unit of crop production inflation contribution",0,0,0,0,0,1,0,0,0,0.046270179287465,0.001,2
"Inflation.weight of marginal energy cost inflation",0,0,0,0,0,1,0,0,0,0.0218328123044687,0.01,2
"Innovation.initial firms innovation orientation",1,0,0,0,0,1,0,0,0,0.5,0.2,0.8
"Innovation.normal time to decrease innovation orientation",0,0,0,0,0,1,0,0,0,10.0365220459605,5,20
"Innovation.sensitivity of firms innovation orientation to cash deceleration",0,0,0,0,0,1,0,0,0,1.00636732406836,0,20
"Innovation.sensitivity of innovation decrease to cash growth",0,0,0,0,0,1,0,0,0,9.99611044301486,0,20
"Sea level rise Impacts and Adaptation.Sensitivity of expected SLR to CO2 emissions",0,0,0,0,1,0,0,0,0,0.00000348,0.000003,0.000004
"Sea level rise Impacts and Adaptation.Sensitivity of expected SLR to T anomaly",0,0,0,0,1,0,0,0,0,0.086,0.08,0.095
"Coastal Assets.asset flood damage elasticity",0,0,0,0,0,1,0,0,0,1,0.9,1.1
"Coastal Assets.asset flood damage sensitivity",0,0,0,0,0,1,0,0,0,0.15,0.1,0.2
"Coastal Assets.Effective flood height at which only half the investment would be made",0,0,0,0,0,1,0,0,0,1,0.5,3
"Coastal Assets.Fraction of storm damages that is not rebuild",0,0,0,0,0,1,0,0,0,0.1,0,0.25
"Coastal Assets.Initial fraction of assets that are on the coast",0,0,0,0,1,0,0,0,0,0.13,0.12,0.14
"Coastal Assets.initial growth rate of coastal assets",0,0,0,0,0,1,0,0,0,0.085,0.082,0.088
"Coastal Assets.Proactive retreat time scale",0,0,0,0,0,0,0,0,0,10,5,25
"Coastal population.Fatality rate in flood events",0,0,0,0,1,0,0,0,0,0.01,0.001,0.03
"Coastal population.people flood damage elasticity",0,0,0,0,0,1,0,0,0,2,1,2
"Coastal population.people flood damage sensitivity",0,0,0,0,0,1,0,0,0,0.5,0.1,0.5
"Sea level rise adaptation.Average value of land in coastal zones in 1980",0,0,0,0,1,0,0,0,0,0.005367,0.0045,0.0065
"Sea level rise adaptation.flood protection cost index baseline",0,0,0,0,1,0,0,0,0,0.3786,0.35,0.4
"Sea level rise adaptation.flood protection cost index sensitivity to GDPpc",0,0,0,0,1,0,0,0,0,0.036853,0.033,0.04
"Sea level rise adaptation.Fraction of dike construction cost for maintenance annually",0,0,0,0,1,0,0,0,0,0.02,0.01,0.04
"Sea level rise adaptation.Maximum fraction of coastal GDP spent for flood protection annually",0,0,0,0,0,1,0,0,0,0.05,0.02,0.1
"Sea level rise adaptation.reference opportunity cost rate",0,0,0,0,1,0,0,0,0,0.04,0.03,0.05
"Sea level rise adaptation.reference protection cost",0,0,0,0,1,0,0,0,0,0.00602,0.005,0.007
"Sea level rise adaptation.Time to increase flood protection height",0,0,0,0,0,1,0,0,0,10,5,25
"Sea level rise costs and impacts.Not depreciated fraction of assets at time of retreat",0,0,0,0,0,1,0,0,0,0.1,0,0.2
"energy demand.effect of GDP on per person use of energy alpha",0,0,0,0,0,1,0,0,0,0.47,0.235,0.47
"energy demand.effect of GDP on per person use of energy beta",0,0,0,0,0,1,0,0,0,0.836832290828595,0,2
"energy demand.normal per person use of energy",0,0,0,0,0,1,0,0,0,7.5,6.5,7.5
"energy investments.historical cost adjustment[Coal fuel extraction, 1]",0,0,0,0,0,1,0,0,0,1.03182639996729,0.000001,2000
"energy investments.historical cost adjustment[Coal fuel extraction, 2]",0,0,0,0,0,1,0,0,0,0.411013278076705,0.000001,2000
"energy investments.historical cost adjustment[Coal fuel extraction, 3]",0,0,0,0,0,1,0,0,0,1.35499734230099,0.000001,2000
"energy investments.historical cost adjustment[Coal fuel extraction, 4]",0,0,0,0,0,1,0,0,0,2.24654974118007,0.000001,2000
"energy investments.historical cost adjustment[Coal fuel extraction, 5]",0,0,0,0,0,1,0,0,0,0.903079139062742,0.000001,2000
"energy investments.historical cost adjustment[Coal fuel extraction, 6]",0,0,0,0,0,1,0,0,0,0.883520941673724,0.000001,2000
"energy investments.historical cost adjustment[Coal fuel extraction, 7]",0,0,0,0,0,1,0,0,0,0.705933761613417,0.000001,2000
"energy investments.historical cost adjustment[Coal fuel extraction, 8]",0,0,0,0,0,1,0,0,0,1.26758780287594,0.000001,2000
"energy investments.historical cost adjustment[Coal fuel extraction, 9]",0,0,0,0,0,1,0,0,0,1.06656235542764,0.000001,2000
"energy investments.historical cost adjustment[Coal energy conversion, 1]",0,0,0,0,0,1,0,0,0,0.462606149331934,0.000001,2000
"energy investments.historical cost adjustment[Coal energy conversion, 2]",0,0,0,0,0,1,0,0,0,0.15641731011234,0.000001,2000
"energy investments.historical cost adjustment[Coal energy conversion, 3]",0,0,0,0,0,1,0,0,0,0.509484960140968,0.000001,2000
"energy investments.historical cost adjustment[Coal energy conversion, 4]",0,0,0,0,0,1,0,0,0,0.608640604381689,0.000001,2000
"energy investments.historical cost adjustment[Coal energy conversion, 5]",0,0,0,0,0,1,0,0,0,0.298363230604727,0.000001,2000
"energy investments.historical cost adjustment[Coal energy conversion, 6]",0,0,0,0,0,1,0,0,0,0.16046277800617,0.000001,2000
"energy investments.historical cost adjustment[Coal energy conversion, 7]",0,0,0,0,0,1,0,0,0,0.252018593441725,0.000001,2000
"energy investments.historical cost adjustment[Coal energy conversion, 8]",0,0,0,0,0,1,0,0,0,0.416089741988227,0.000001,2000
"energy investments.historical cost adjustment[Coal energy conversion, 9]",0,0,0,0,0,1,0,0,0,0.395634178478145,0.000001,2000
"energy investments.historical cost adjustment[Oil fuel extraction, 1]",0,0,0,0,0,1,0,0,0,0.08,0.000001,2000
"energy investments.historical cost adjustment[Oil fuel extraction, 2]",0,0,0,0,0,1,0,0,0,0.0631447818118235,0.000001,2000
"energy investments.historical cost adjustment[Oil fuel extraction, 3]",0,0,0,0,0,1,0,0,0,0.0832899695083518,0.000001,2000
"energy investments.historical cost adjustment[Oil fuel extraction, 4]",0,0,0,0,0,1,0,0,0,0.0811803846769153,0.000001,2000
"energy investments.historical cost adjustment[Oil fuel extraction, 5]",0,0,0,0,0,1,0,0,0,0.0871103735629449,0.000001,2000
"energy investments.historical cost adjustment[Oil fuel extraction, 6]",0,0,0,0,0,1,0,0,0,0.0788140812679224,0.000001,2000
"energy investments.historical cost adjustment[Oil fuel extraction, 7]",0,0,0,0,0,1,0,0,0,0.0848239154051217,0.000001,2000
"energy investments.historical cost adjustment[Oil fuel extraction, 8]",0,0,0,0,0,1,0,0,0,0.0948915618379132,0.000001,2000
"energy investments.historical cost adjustment[Oil fuel extraction, 9]",0,0,0,0,0,1,0,0,0,0.116576196209823,0.000001,2000
"energy investments.historical cost adjustment[Oil energy conversion, 1]",0,0,0,0,0,1,0,0,0,0.25,0.000001,2000
"energy investments.historical cost adjustment[Oil energy conversion, 2]",0,0,0,0,0,1,0,0,0,0.082246260208623,0.000001,2000
"energy investments.historical cost adjustment[Oil energy conversion, 3]",0,0,0,0,0,1,0,0,0,0.308600364731014,0.000001,2000
"energy investments.historical cost adjustment[Oil energy conversion, 4]",0,0,0,0,0,1,0,0,0,0.329544255589911,0.000001,2000
"energy investments.historical cost adjustment[Oil energy conversion, 5]",0,0,0,0,0,1,0,0,0,0.198137176233781,0.000001,2000
"energy investments.historical cost adjustment[Oil energy conversion, 6]",0,0,0,0,0,1,0,0,0,0.143651989372607,0.000001,2000
"energy investments.historical cost adjustment[Oil energy conversion, 7]",0,0,0,0,0,1,0,0,0,0.109870383254787,0.000001,2000
"energy investments.historical cost adjustment[Oil energy conversion, 8]",0,0,0,0,0,1,0,0,0,0.135399061457095,0.000001,2000
"energy investments.historical cost adjustment[Oil energy conversion, 9]",0,0,0,0,0,1,0,0,0,0.145584260397014,0.000001,2000
"energy investments.historical cost adjustment[Gas fuel extraction, 1]",0,0,0,0,0,1,0,0,0,0.306789184301203,0.000001,2000
"energy investments.historical cost adjustment[Gas fuel extraction, 2]",0,0,0,0,0,1,0,0,0,0.125206238934051,0.000001,2000
"energy investments.historical cost adjustment[Gas fuel extraction, 3]",0,0,0,0,0,1,0,0,0,0.317261585007743,0.000001,2000
"energy investments.historical cost adjustment[Gas fuel extraction, 4]",0,0,0,0,0,1,0,0,0,0.51627865725358,0.000001,2000
"energy investments.historical cost adjustment[Gas fuel extraction, 5]",0,0,0,0,0,1,0,0,0,0.295503741378641,0.000001,2000
"energy investments.historical cost adjustment[Gas fuel extraction, 6]",0,0,0,0,0,1,0,0,0,0.247967288328749,0.000001,2000
"energy investments.historical cost adjustment[Gas fuel extraction, 7]",0,0,0,0,0,1,0,0,0,0.246917880445067,0.000001,2000
"energy investments.historical cost adjustment[Gas fuel extraction, 8]",0,0,0,0,0,1,0,0,0,0.300532748741577,0.000001,2000
"energy investments.historical cost adjustment[Gas fuel extraction, 9]",0,0,0,0,0,1,0,0,0,0.354420997875602,0.000001,2000
"energy investments.historical cost adjustment[Gas energy conversion, 1]",0,0,0,0,0,1,0,0,0,0.217387943500359,0.000001,2000
"energy investments.historical cost adjustment[Gas energy conversion, 2]",0,0,0,0,0,1,0,0,0,0.0830660852563276,0.000001,2000
"energy investments.historical cost adjustment[Gas energy conversion, 3]",0,0,0,0,0,1,0,0,0,0.244762190658124,0.000001,2000
"energy investments.historical cost adjustment[Gas energy conversion, 4]",0,0,0,0,0,1,0,0,0,0.510978720364552,0.000001,2000
"energy investments.historical cost adjustment[Gas energy conversion, 5]",0,0,0,0,0,1,0,0,0,0.0818126062819203,0.000001,2000
"energy investments.historical cost adjustment[Gas energy conversion, 6]",0,0,0,0,0,1,0,0,0,0.149353338128107,0.000001,2000
"energy investments.historical cost adjustment[Gas energy conversion, 7]",0,0,0,0,0,1,0,0,0,0.144485076045946,0.000001,2000
"energy investments.historical cost adjustment[Gas energy conversion, 8]",0,0,0,0,0,1,0,0,0,0.188451446070731,0.000001,2000
"energy investments.historical cost adjustment[Gas energy conversion, 9]",0,0,0,0,0,1,0,0,0,0.254064440915985,0.000001,2000
"energy investments.historical cost adjustment[Solar and Wind, 1]",0,0,0,0,0,1,0,0,0,0.483160329942946,0.000001,2000
"energy investments.historical cost adjustment[Solar and Wind, 2]",0,0,0,0,0,1,0,0,0,0.48427323099357,0.000001,2000
"energy investments.historical cost adjustment[Solar and Wind, 3]",0,0,0,0,0,1,0,0,0,1.03432713584854,0.000001,2000
"energy investments.historical cost adjustment[Solar and Wind, 4]",0,0,0,0,0,1,0,0,0,0.447055436374411,0.000001,2000
"energy investments.historical cost adjustment[Solar and Wind, 5]",0,0,0,0,0,1,0,0,0,0.152920516448904,0.000001,2000
"energy investments.historical cost adjustment[Solar and Wind, 6]",0,0,0,0,0,1,0,0,0,0.117753731835763,0.000001,2000
"energy investments.historical cost adjustment[Solar and Wind, 7]",0,0,0,0,0,1,0,0,0,0.0885764864827472,0.000001,2000
"energy investments.historical cost adjustment[Solar and Wind, 8]",0,0,0,0,0,1,0,0,0,0.125892901224737,0.000001,2000
"energy investments.historical cost adjustment[Solar and Wind, 9]",0,0,0,0,0,1,0,0,0,0.088172814481905,0.000001,2000
"energy investments.historical cost adjustment[Hydropower, 1]",0,0,0,0,0,1,0,0,0,1.23552401351051,0.000001,2000
"energy investments.historical cost adjustment[Hydropower, 2]",0,0,0,0,0,1,0,0,0,0.294365386428212,0.000001,2000
"energy investments.historical cost adjustment[Hydropower, 3]",0,0,0,0,0,1,0,0,0,1.42483682860833,0.000001,2000
"energy investments.historical cost adjustment[Hydropower, 4]",0,0,0,0,0,1,0,0,0,2.92788478064123,0.000001,2000
"energy investments.historical cost adjustment[Hydropower, 5]",0,0,0,0,0,1,0,0,0,0.919496745734629,0.000001,2000
"energy investments.historical cost adjustment[Hydropower, 6]",0,0,0,0,0,1,0,0,0,0.416399557375146,0.000001,2000
"energy investments.historical cost adjustment[Hydropower, 7]",0,0,0,0,0,1,0,0,0,0.323800093657265,0.000001,2000
"energy investments.historical cost adjustment[Hydropower, 8]",0,0,0,0,0,1,0,0,0,0.368592038515488,0.000001,2000
"energy investments.historical cost adjustment[Hydropower, 9]",0,0,0,0,0,1,0,0,0,0.37778446436346,0.000001,2000
"energy investments.historical cost adjustment[Other, 1]",0,0,0,0,0,1,0,0,0,0.591854841456433,0.000001,2000
"energy investments.historical cost adjustment[Other, 2]",0,0,0,0,0,1,0,0,0,0.366516926932816,0.000001,2000
"energy investments.historical cost adjustment[Other, 3]",0,0,0,0,0,1,0,0,0,0.850059911944079,0.000001,2000
"energy investments.historical cost adjustment[Other, 4]",0,0,0,0,0,1,0,0,0,2.92611206206516,0.000001,2000
"energy investments.historical cost adjustment[Other, 5]",0,0,0,0,0,1,0,0,0,0.693792259463251,0.000001,2000
"energy investments.historical cost adjustment[Other, 6]",0,0,0,0,0,1,0,0,0,0.457377000728142,0.000001,2000
"energy investments.historical cost adjustment[Other, 7]",0,0,0,0,0,1,0,0,0,0.380384516467479,0.000001,2000
"energy investments.historical cost adjustment[Other, 8]",0,0,0,0,0,1,0,0,0,0.544896989147429,0.000001,2000
"energy investments.historical cost adjustment[Other, 9]",0,0,0,0,0,1,0,0,0,0.526616997703634,0.000001,2000
"energy investments.historical cost adjustment[Nuclear, 1]",0,0,0,0,0,1,0,0,0,0.849651954516884,0.000001,2000
"energy investments.historical cost adjustment[Nuclear, 2]",0,0,0,0,0,1,0,0,0,0.222113481988137,0.000001,2000
"energy investments.historical cost adjustment[Nuclear, 3]",0,0,0,0,0,1,0,0,0,1.28968027925542,0.000001,2000
"energy investments.historical cost adjustment[Nuclear, 4]",0,0,0,0,0,1,0,0,0,2.67523457864792,0.000001,2000
"energy investments.historical cost adjustment[Nuclear, 5]",0,0,0,0,0,1,0,0,0,0.616765955324353,0.000001,2000
"energy investments.historical cost adjustment[Nuclear, 6]",0,0,0,0,0,1,0,0,0,0.277556081976935,0.000001,2000
"energy investments.historical cost adjustment[Nuclear, 7]",0,0,0,0,0,1,0,0,0,0.209895747492842,0.000001,2000
"energy investments.historical cost adjustment[Nuclear, 8]",0,0,0,0,0,1,0,0,0,0.232814267565246,0.000001,2000
"energy investments.historical cost adjustment[Nuclear, 9]",0,0,0,0,0,1,0,0,0,0.237882303072467,0.000001,2000
"energy investments.historical cost adjustment[Bio, 1]",0,0,0,0,0,1,0,0,0,0.60965492507349,0.000001,2000
"energy investments.historical cost adjustment[Bio, 2]",0,0,0,0,0,1,0,0,0,0.111618780580821,0.000001,2000
"energy investments.historical cost adjustment[Bio, 3]",0,0,0,0,0,1,0,0,0,0.691374566756469,0.000001,2000
"energy investments.historical cost adjustment[Bio, 4]",0,0,0,0,0,1,0,0,0,2.99407383582991,0.000001,2000
"energy investments.historical cost adjustment[Bio, 5]",0,0,0,0,0,1,0,0,0,0.617416839462124,0.000001,2000
"energy investments.historical cost adjustment[Bio, 6]",0,0,0,0,0,1,0,0,0,0.342950229479712,0.000001,2000
"energy investments.historical cost adjustment[Bio, 7]",0,0,0,0,0,1,0,0,0,0.341810045342304,0.000001,2000
"energy investments.historical cost adjustment[Bio, 8]",0,0,0,0,0,1,0,0,0,0.527813512409802,0.000001,2000
"energy investments.historical cost adjustment[Bio, 9]",0,0,0,0,0,1,0,0,0,0.519900626520621,0.000001,2000
"energy investments.shape",0,0,0,0,0,0,0,0,0,1,1,3
"Damages.Slope of Capital Damage Function",0,0,0,0,0,0,0,0,0,0.00713869179990239,0,2
"fossil energy coal.carbon intensity in btu",0,0,0,0,0,1,0,0,0,0.025398539651913,0.01,0.03
"fossil energy coal.initial fossil energy capital",0,0,0,0,0,1,0,0,0,550000000000,1000000000,5000000000000
